1_op_prefix_ok.wav,"you picked up some minor aero damage"
10.wav,"you picked up a little bit of bodywork damage"
11.wav,"we're seeing a little bit of aero damage"
12.wav,"looks like you got some minor bodywork damage"
2_op_prefix_ok.wav,"you picked up a big of aero damage"
3_op_prefix_ok.wav,"you've had a bit of bodywork damage there"
4_op_prefix_ok.wav,"you had some minor aero damage, stay out, it's not that bad"
5.wav,"you've had a bit of bodywork damage, stay out, it's not too bad"
6.wav,"you've got a little bit of bodywork damage there"
7.wav,"some minor aero damage"
8.wav,"we're seeing some minor aero damage"
9.wav,"we're seeing a little bit of bodywork damage there"
