1_male.wav,"faster car behind, this guy's their class leader"
2_op_prefix_ok_male.wav,"there's a faster car bearing down on you, he's the class leader"
3_male.wav,"there's a faster car behind, he's class leader"
4.wav,"the class leader from a faster class is behind"
5_male.wav,"faster car approaching, this guy's their class leader"
6_male.wav,"faster car approaching, this guy's the class leader"
1_op_prefix_ok.wav,"faster car approaching, it's their class leader"
2.wav,"there's a faster car behind, this is their class leader"
3.wav,"there's a faster car bearing down on you, it's their class leader"
4.wav,"the class leader from a faster class is behind"
